# This file contains the mean and standard deviation of the squared overlap <ψ_alpha=2|φ_alpha>²> of the ground state wavefunction of the generalized Haldane-Shastry model with arbitrary interaction range α with the the ground state of alpha=2 Haldane-Shastry model.
# Here N is the system size, δ is the position disorder strength and α is the interaction range parameter.
# Columns: N, α, δ, mean of squared overlap <ψ_alpha=2|φ_alpha>²>, standard deviation of squared overlap
 
N, α, δ, mean, std_deviation
12 2.8 0.1 0.9984656698156134 0.0005008200485445177
12 2.9 0.1 0.9980812807194157 0.0006329421822276116
12 3.0 0.1 0.9976578303082061 0.0007805065540251132
10 0.0 0.1 0.023329474285327577 0.029968704185545328
10 0.0001 0.1 0.9870021386467599 0.0022018579440484893
10 0.001 0.1 0.9870197049325852 0.0021994536720614587
10 0.01 0.1 0.9871941958221323 0.00217552262334206
10 0.1 0.1 0.9888273545968542 0.0019470910306666482
10 0.2 0.1 0.9904250532531903 0.0017152534872397096
10 0.3 0.1 0.9918235157964171 0.0015046927342507014
10 0.4 0.1 0.993048457182042 0.0013135651945476946
10 0.5 0.1 0.9941217418771853 0.0011401501738758858
10 0.6 0.1 0.9950619576994857 0.0009828818462056252
10 0.7 0.1 0.9958849066285069 0.0008403688775159145
10 0.8 0.1 0.9966040235805746 0.0007114037505004166
10 0.9 0.1 0.997230733023045 0.0005949637084138021
10 1.0 0.1 0.9977747521820086 0.0004902051134383165
10 1.1 0.1 0.9982443485249521 0.0003964528818448963
10 1.2 0.1 0.9986465582075805 0.0003131864976617273
10 1.3 0.1 0.9989873712758873 0.0002400239157750835
10 1.4 0.1 0.9992718886139852 0.00017670445249588277
10 1.5 0.1 0.999504454922488 0.00012307154046464628
10 1.6 0.1 0.9996887713949352 7.905601020315314e-5
10 1.7 0.1 0.999827991223148 4.466036506136525e-5
10 1.8 0.1 0.9999248005979615 1.9944348070032138e-5
10 1.9 0.1 0.9999814874711667 5.011962211500483e-6
10 2.0 0.1 1.0 0.0
10 2.1 0.1 0.999981996299926 5.06806149885011e-6
10 2.2 0.1 0.9999288868783791 2.0389987873074373e-5
10 2.3 0.1 0.9998418709060187 4.614660557962422e-5
10 2.4 0.1 0.9997219672977646 8.251965963138921e-5
10 2.5 0.1 0.9995700414191752 0.00012968680886196661
10 2.6 0.1 0.9993868281008627 0.0001878175582176662
10 2.7 0.1 0.9991729515311312 0.00025707001003217163
10 2.8 0.1 0.9989289425022311 0.0003375883258750973
10 2.9 0.1 0.99865525340586 0.00042950080139775694
10 3.0 0.1 0.9983522713067747 0.0005329184675880673
8 0.0 0.1 0.06963033691258466 0.08645053939991094
8 0.0001 0.1 0.9942212132528809 0.0010472062062727716
8 0.001 0.1 0.9942279140553727 0.0010464090946048906
8 0.01 0.1 0.9942945721206005 0.0010384566362990721
8 0.1 0.1 0.9949274887563488 0.0009606896170886025
8 0.2 0.1 0.9955641726884569 0.000877641333782407
8 0.3 0.1 0.996137929635068 0.0007976845189193042
8 0.4 0.1 0.9966550873701184 0.0007205387897334707
8 0.5 0.1 0.9971210575985804 0.0006460792662904939
8 0.6 0.1 0.9975404745750512 0.0005743092303387662
8 0.7 0.1 0.9979173113300313 0.0005053356195060098
8 0.8 0.1 0.9982549773243764 0.0004393475829850515
8 0.9 0.1 0.9985564006706944 0.0003765980529127953
8 1.0 0.1 0.9988240975060476 0.00031738812318096764
8 1.1 0.1 0.9990602306487785 0.0002620539445864356
