# This file contains the mean r-statistics values and standard errors for the generalized Haldane-Shastry model with arbitrary interaction range α 
 for various parameters in m=0 sector to analyse the data collapse as function of effective parameters αδ.
# Here N is the system size, hj is the magnetic field strength, δ is the position disorder strength and α is the interaction range parameter.
# Columns: N, hj, δ, αδ, mean_r_statistic, std_error
 
N, hj, δ, αδ, mean_r_statistic, std_error
16 0.5 0.3 0.5 0.5302802335881377 8.868305737618619e-5
16 0.5 0.3 1.0 0.5292432625346541 0.00011111835854578244
16 0.5 0.3 1.5 0.5054355448546194 0.0007313823442843336
16 0.5 0.3 2.0 0.4696798041789243 0.0009817573303912857
16 0.5 0.3 2.5 0.44376077147845144 0.0009075448391073054
16 0.5 0.3 3.0 0.42621822280215177 0.000781843474705717
16 0.5 0.3 3.5 0.4145822389172293 0.0006604588613756971
16 0.5 0.3 4.0 0.40541172930249914 0.0004737365192869671
16 0.5 0.3 4.5 0.40168535557081353 0.00044074220895196943
16 0.5 0.3 5.0 0.39793054946866824 0.0003688893087804483
16 0.5 0.3 5.5 0.39510038614871373 0.00027656239280683735
16 0.5 0.3 6.0 0.39282561946741384 0.00020263035034923585
16 0.5 0.3 6.5 0.39214425367685557 0.0001946922770660778
16 0.5 0.3 7.0 0.3914296514981557 0.00020695298370781003
16 0.5 0.3 7.5 0.39027356194851776 0.00018522873446538828
16 0.5 0.3 8.0 0.38942094829987955 0.0001786997707532797
16 0.5 0.3 8.5 0.3888661171444349 0.0001730698629895695
16 0.5 0.3 9.0 0.38811315456000745 0.0001842203049484731
16 0.5 0.3 9.5 0.387718957268078 0.00019824686429563722
16 0.5 0.3 10.0 0.3874216600230292 0.0002035238861445295
16 0.5 0.3 10.5 0.3870462402231201 0.00021943462981760772
16 0.5 0.3 11.0 0.3866042195133553 0.00023959569776317284
16 0.5 0.3 11.5 0.38630146128527926 0.000269152732438585
16 0.5 0.3 12.0 0.3856468314669058 0.00025802886459200687
16 0.5 0.3 12.5 0.3850548788793757 0.00031917222954451756
16 0.5 0.3 13.0 0.38465141965432276 0.0003281334845271264
16 0.5 0.3 13.5 0.3850469190649723 0.0003172283975759821
16 0.5 0.3 14.0 0.38437514041531073 0.0003133056942581421
16 0.5 0.3 14.5 0.3841865184895542 0.00032848547433567127
16 0.5 0.3 15.0 0.3845103863480745 0.0003211400806739698
16 0.5 0.5 0.5 0.5302079698167463 8.640631501609714e-5
16 0.5 0.5 1.0 0.5254660864057829 0.00025084492723304
16 0.5 0.5 1.5 0.4996999493594506 0.0007653324052348176
16 0.5 0.5 2.0 0.4696613021341587 0.0008588783522586164
16 0.5 0.5 2.5 0.44869583581194306 0.0008510815033696315
16 0.5 0.5 3.0 0.43029455505837017 0.0007458948928397073
16 0.5 0.5 3.5 0.4177794535578184 0.0006387751587801229
16 0.5 0.5 4.0 0.4086732837521182 0.0005297328294596286
16 0.5 0.5 4.5 0.40309090778992734 0.00042168686360875124
16 0.5 0.5 5.0 0.398974349324597 0.0003609709851958509
16 0.5 0.5 5.5 0.3959597241137179 0.0002903917938811974
16 0.5 0.5 6.0 0.39440349133196034 0.00024614709001845905
16 0.5 0.5 6.5 0.39315931484082595 0.0002611973893857499
16 0.5 0.5 7.0 0.39160641293352133 0.00019361063800402717
16 0.5 0.5 7.5 0.3905495471698755 0.00018025349201898337
16 0.5 0.5 8.0 0.38993564427527616 0.00019533591878779865
16 0.5 0.5 8.5 0.38922116228039283 0.00017899611194159627
16 0.5 0.5 9.0 0.38823098019052993 0.00016962419040956512
16 0.5 0.5 9.5 0.38762264150197295 0.00019383544570979733
16 0.5 0.5 10.0 0.3873126529897853 0.0002079608410830333
16 0.5 0.5 10.5 0.38689640778812173 0.00022309471807208434
